# Eigenvalor 0 =     0.4999
 # X      Psi(x)     |Psi(x)|^2
  -4.8179999913554639        5.6470931450669602E-006   3.1889660989062253E-011
  -4.8169999913079664        5.6855762335758231E-006   3.2325777107802241E-011
  -4.8159999912604690        5.7241855628967564E-006   3.2766300358475653E-011
  -4.8149999912129715        5.7629219351585230E-006   3.3211269230731256E-011
  -4.8139999911654741        5.8017861545759388E-006   3.3660722583429059E-011
  -4.8129999911179766        5.8407790274642701E-006   3.4114699647666462E-011
  -4.8119999910704792        5.8799013622536439E-006   3.4573240029832255E-011
  -4.8109999910229817        5.9191539695034783E-006   3.5036383714688782E-011
  -4.8099999909754843        5.9585376619169283E-006   3.5504171068482455E-011
  -4.8089999909279868        5.9980532543553492E-006   3.5976642842082796E-011
  -4.8079999908804893        6.0377015638527823E-006   3.6453840174150335E-011
  -4.8069999908329919        6.0774834096304594E-006   3.6935804594333476E-011
  -4.8059999907854944        6.1173996131113182E-006   3.7422578026494505E-011
  -4.8049999907379970        6.1574509979345415E-006   3.7914202791965082E-011
  -4.8039999906904995        6.1976383899701119E-006   3.8410721612831319E-011
  -4.8029999906430021        6.2379626173333910E-006   3.8912177615248850E-011
  -4.8019999905955046        6.2784245103997175E-006   3.9418614332787930E-011
  -4.8009999905480072        6.3190249018190220E-006   3.9930075709808901E-011
  -4.7999999905005097        6.3597646265304610E-006   4.0446606104868134E-011
  -4.7989999904530123        6.4006445217770733E-006   4.0968250294154860E-011
  -4.7979999904055148        6.4416654271204622E-006   4.1495053474959049E-011
  -4.7969999903580174        6.4828281844554790E-006   4.2027061269170322E-011
  -4.7959999903105199        6.5241336380249529E-006   4.2564319726808706E-011
  -4.7949999902630225        6.5655826344344218E-006   4.3106875329586844E-011
  -4.7939999902155250        6.6071760226668975E-006   4.3654774994504363E-011
  -4.7929999901680276        6.6489146540976468E-006   4.4208066077474431E-011
  -4.7919999901205301        6.6907993825089898E-006   4.4766796376982681E-011
  -4.7909999900730327        6.7328310641051314E-006   4.5331014137779032E-011
  -4.7899999900255352        6.7750105575270032E-006   4.5900768054602356E-011
  -4.7889999899780378        6.8173387238671363E-006   4.6476107275938398E-011
  -4.7879999899305403        6.8598164266845483E-006   4.7057081407811162E-011
  -4.7869999898830429        6.9024445320196727E-006   4.7643740517608278E-011
  -4.7859999898355454        6.9452239084092786E-006   4.8236135137939855E-011
  -4.7849999897880480        6.9881554269014465E-006   4.8834316270532138E-011
  -4.7839999897405505        7.0312399610705461E-006   4.9438335390155337E-011
  -4.7829999896930531        7.0744783870322460E-006   5.0048244448586372E-011
  -4.7819999896455556        7.1178715834585489E-006   5.0664095878606710E-011
  -4.7809999895980582        7.1614204315928501E-006   5.1285942598035525E-011
  -4.7799999895505607        7.2051258152650171E-006   5.1913838013798378E-011
  -4.7789999895030633        7.2489886209064881E-006   5.2547836026031749E-011
  -4.7779999894555658        7.2930097375654194E-006   5.3187991032224026E-011
  -4.7769999894080684        7.3371900569218287E-006   5.3834357931392546E-011
  -4.7759999893605709        7.3815304733027824E-006   5.4486992128297599E-011
  -4.7749999893130735        7.4260318836975980E-006   5.5145949537693298E-011
  -4.7739999892655760        7.4706951877730852E-006   5.5811286588615932E-011
  -4.7729999892180786        7.5155212878887977E-006   5.6483060228709692E-011
  -4.7719999891705811        7.5605110891123189E-006   5.7161327928590341E-011
  -4.7709999891230837        7.6056654992345783E-006   5.7846147686247168E-011
  -4.7699999890755862        7.6509854287851836E-006   5.8537578031483202E-011
  -4.7689999890280887        7.6964717910477868E-006   5.9235678030394331E-011
  -4.7679999889805913        7.7421255020754879E-006   5.9940507289887621E-011
  -4.7669999889330938        7.7879474807062365E-006   6.0652125962238615E-011
  -4.7659999888855964        7.8339386485782915E-006   6.1370594749688663E-011
  -4.7649999888380989        7.8800999301456919E-006   6.2095974909082143E-011
  -4.7639999887906015        7.9264322526937570E-006   6.2828328256543833E-011
  -4.7629999887431040        7.9729365463546279E-006   6.3567717172197265E-011
  -4.7619999886956066        8.0196137441228157E-006   6.4314204604923572E-011
  -4.7609999886481091        8.0664647818707886E-006   6.5067854077161750E-011
  -4.7599999886006117        8.1134905983646065E-006   6.5828729689750864E-011
  -4.7589999885531142        8.1606921352795450E-006   6.6596896126813418E-011
  -4.7579999885056168        8.2080703372157864E-006   6.7372418660681675E-011
  -4.7569999884581193        8.2556261517141232E-006   6.8155363156866149E-011
  -4.7559999884106219        8.3033605292716810E-006   6.8945796079066894E-011
  -4.7549999883631244        8.3512744233577021E-006   6.9743784494228522E-011
  -4.7539999883156270        8.3993687904293238E-006   7.0549396077638156E-011
  -4.7529999882681295        8.4476445899474098E-006   7.1362699118067741E-011
  -4.7519999882206321        8.4961027843924098E-006   7.2183762522960453E-011
  -4.7509999881731346        8.5447443392802465E-006   7.3012655823661815E-011
  -4.7499999881256372        8.5935702231782296E-006   7.3849449180695531E-011
  -4.7489999880781397        8.6425814077210055E-006   7.4694213389084795E-011
  -4.7479999880306423        8.6917788676265393E-006   7.5547019883719291E-011
  -4.7469999879831448        8.7411635807121250E-006   7.6407940744768024E-011
  -4.7459999879356474        8.7907365279104355E-006   7.7277048703138824E-011
  -4.7449999878881499        8.8404986932855955E-006   7.8154417145984318E-011
  -4.7439999878406525        8.8904510640492907E-006   7.9040120122255172E-011
  -4.7429999877931550        8.9405946305769122E-006   7.9934232348300710E-011
  -4.7419999877456576        8.9909303864237296E-006   8.0836829213517560E-011
  -4.7409999876981601        9.0414593283410947E-006   8.1747986786046203E-011
  -4.7399999876506627        9.0921824562926895E-006   8.2667781818516570E-011
  -4.7389999876031652        9.1431007734707893E-006   8.3596291753842145E-011
  -4.7379999875556678        9.1942152863125863E-006   8.4533594731064033E-011
  -4.7369999875081703        9.2455270045165173E-006   8.5479769591244159E-011
  -4.7359999874606729        9.2970369410586470E-006   8.6434895883409127E-011
  -4.7349999874131754        9.3487461122090752E-006   8.7399053870544295E-011
  -4.7339999873656780        9.4006555375483874E-006   8.8372324535639163E-011
  -4.7329999873181805        9.4527662399841265E-006   8.9354789587783634E-011
  -4.7319999872706831        9.5050792457673100E-006   9.0346531468316457E-011
  -4.7309999872231856        9.5575955845089828E-006   9.1347633357025599E-011
  -4.7299999871756881        9.6103162891967982E-006   9.2358179178401320E-011
  -4.7289999871281907        9.6632423962116389E-006   9.3378253607942063E-011
  -4.7279999870806932        9.7163749453442832E-006   9.4407942078514124E-011
  -4.7269999870331958        9.7697149798120810E-006   9.5447330786764568E-011
  -4.7259999869856983        9.8232635462757017E-006   9.6496506699589078E-011
  -4.7249999869382009        9.8770216948558800E-006   9.7555557560653724E-011
  -4.7239999868907034        9.9309904791502342E-006   9.8624571896972594E-011
  -4.7229999868432060        9.9851709562500973E-006   9.9703639025540483E-011
  -4.7219999867957085        1.0039564186757396E-005   1.0079284906002170E-010
  -4.7209999867482111        1.0094171234801566E-005   1.0189229291749537E-010
  -4.7199999867007136        1.0148993168056495E-005   1.0300206232525742E-010
  -4.7189999866532162        1.0204031057757519E-005   1.0412224982768003E-010
  -4.7179999866057187        1.0259285978718452E-005   1.0525294879312902E-010
  -4.7169999865582213        1.0314759009348644E-005   1.0639425342093903E-010
  -4.7159999865107238        1.0370451231670092E-005   1.0754625874844773E-010
  -4.7149999864632264        1.0426363731334570E-005   1.0870906065808894E-010
